41757816,6969,5992
37239000,8547,4400
26746000,2784,9600
25360000,2163,10600
22826000,1943,11800
21766000,3497,6200
21241000,1437,14800
20877000,803,26000
20673000,11642,1800
20568000,3173,6500
20032000,2046,9800
18241000,3497,5200
17307000,546,31700
17175000,3212,5300
15788000,4403,3600
15071000,1658,9100
15067000,6299,3198
14630000,1204,12100
14544000,2331,6200
14399000,324,44500
13776000,2642,5200
14746000,1360,9800
12919000,1347,9600
12506000,1748,7200
12090000,907,13300
11616000,2020,5700
10869000,2845,3800
10183000,3820,2700
10000000,1587,5000
9576000,1623,5900
9400000,648,14500
9387000,583,16100
9277000,1684,5500
9182000,842,10900
9104000,6856,1300
9044000,738,12300
8764000,1269,6900
8591000,1554,5500
8386000,971,8600
8357000,1140,7300
8206000,881,9300
7994000,583,13700
7426000,2694,2800
7411000,1088,6800
7312000,2642,2800
7162000,275,26100
6732000,298,22600
6632000,881,7500
6617000,6851,700
6608000,1943,3400
6559000,1127,5800
6366000,596,10700
6184000,2287,2700
6183000,1321,4700
6171000,984,6300
6022000,5175,1200
6020000,2797,2200
5913000,1399,4200
5504000,3209,1800
5770000,1140,5100
5631000,881,6400
5582000,1088,5100
5508000,5131,1100
5485000,4644,1200
5425000,767,7100
5332000,803,6600
5287000,518,10200
5265000,376,14000
5248000,1891,2800
5133000,1502,3400
4919000,932,5300
4899000,1191,4100
4825000,3424,1400
4791000,161,29800
4764000,427,11100
4703000,673,7000
4756000,2037,2800
4656000,1075,4300
4620000,350,13200
4603000,293,15700
4603000,324,14200
4567000,699,6500
4543000,518,8800
4514000,5325,800
4457000,557,8000
4444000,1153,3900
4402000,907,4900
4221000,583,7200
4220000,894,4700
4184000,648,5600
4075000,389,10500
4044000,3276,1200
4002000,777,5200
3956000,1347,2900
3933000,945,4200
3851000,712,5400
3798000,1114,3400
3793000,414,9200
3793000,777,4900
4442918,2543,1750
3734000,3463,1100
3732000,189,19700
3726000,1023,3600
3723000,570,6500
3636000,725,5000
3636000,251,14500
3625000,440,8200
3560000,816,4400
3526000,466,7600
3523000,596,5900
3510000,583,6000
3479000,725,4800
3476000,259,13400
3457000,1036,3300
3450000,1546,2200
3445000,673,5100
3421000,479,7100
3413000,596,5700
3413000,842,4100
3388000,583,5800
3384000,259,13100
3319000,1230,2700
3312000,738,4500
3279000,272,12100
3270000,194,16800
3264000,259,12600
3233000,842,3800
3228000,466,6900
3226000,389,8300
3212000,531,6000
3208000,168,19100
3197000,181,17600
3180000,389,8200
3180000,2616,1200
3135000,427,7300
3120000,220,14200
3097000,298,10400
3073000,111,27600
3065000,1896,1600
3048000,176,17300
3044000,518,5900
3044000,192,15900
3031000,337,9000
3026000,238,12700
2994000,453,6600
2973000,492,6000
2971000,829,3600
2946000,272,10800
2939000,376,7800
2850000,73,39300
2817000,259,10900
2816000,544,5200
2796000,363,7700
2763000,93,29600
2749000,298,9200
2749000,181,15200
2731000,2647,1000
2697000,958,2800
2691000,414,6500
2654000,622,4300
2630000,344,7600
2612000,205,12800
2608000,179,14600
2605000,220,11800
2602000,1230,2100
2587000,231,11200
2556000,531,4800
2541000,932,2700
2533000,285,8900
2516000,2479,1000
2514000,220,11400
3552000,1471,3500
2505000,1730,1400
2486000,155,16000
2469000,544,4500
2463000,207,11900
2456000,363,6800
2400000,246,9800
2394000,673,3600
2379000,220,10800
2374000,622,3800
2364000,363,6500
2360000,225,10500
2343000,155,15100
2332000,171,13600
2316000,531,4400
2306000,492,4700
2303000,673,3400
2299000,350,6600
2297000,600,3800
2277000,306,7500
2275000,648,3500
2264000,130,17500
2257000,246,9200
2251000,1857,1200
2250000,246,9100
2246000,171,13100
2246000,558,4000
2211000,220,10000
2203000,557,4000
2200000,272,8100
2193000,350,6300
2193000,311,7100
2182000,168,13000
2177000,223,9800
2166000,1150,1900
2163000,2246,1000
2157000,2393,900
2139000,127,16900
2131000,673,3200
2123000,596,3600
2120000,119,17800
